Exp_name, solver, sols, solver_time_mean, total_time_mean, block,  block(2nd calc) , avg_block, solver_calls, solver_err, sr_err, how_many?, solver_v_best, total_v_best, block_total_v, file_size, nodes, satv, satc
hu_gen_vote_10,nbc_compressed D+I,9962,63.19,482.45453270276386,109203.0,39469.0,6825.1875,16.0,3.5255779668020413,85.86159300296728,3,58.639999999999986,392.90697264671326,109203.0,5714593.333333333,113192.66666666667,7831.666666666667,223221.33333333334
hu_gen_vote_20,glucose D+I,2983,4271.703581000001,5907.606981913249,4484565.0,4450636.0,280285.3125,16.0,200.31360277527332,272.2342327785158,3,3871.098068999995,5565.1641590595245,4484565.0,-1.0,nan,nan,nan
hu_gen_vote_20,glucose D,2997,5014.389281200002,7042.566101360321,4492503.0,nan,1498.5,2998.0,103.51801998347568,731.0146366720192,5,4605.230406000006,5374.334245443344,4492503.0,-1.0,nan,nan,nan
hu_gen_vote_20,glucose_ordered D,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,6105.0,nan,nan,nan,nan
hu_gen_vote_20,minion D+I,2983,22.324867,57.371779680252075,33929.0,10065.0,2120.5625,16.0,1.0573259999999995,8.73594856262207,2,21.267541,48.635831117630005,33929.0,654294.0,64345.0,0.0,0.0
hu_gen_vote_20,minion_compressed D+I,2983,101.268078,165.88030743598938,33929.0,10065.0,2120.5625,16.0,nan,nan,1,101.268078,165.88030743598938,33929.0,1054683.0,64105.0,0.0,0.0
hu_gen_vote_20,minion D,2983,16142.817231000015,17901.799266576767,4450636.0,nan,1491.5,2984.0,nan,nan,1,16142.817231000015,17901.799266576767,4450636.0,-1.0,nan,nan,nan
hu_gen_vote_20,nbc D+I,2983,26.622857142857146,84.49863634790692,33929.0,10065.0,2120.5625,16.0,1.270810978949146,2.6181909007870092,7,20.68,72.46113419532776,33929.0,2294353.8571428573,57980.0,4070.0,203257.0
hu_gen_vote_20,nbc_compressed D+I,2983,25.01666666666667,104.20414423942566,33929.0,10065.0,2120.5625,16.0,0.4161062898400432,3.6904242257191107,3,24.500000000000004,96.88343691825867,33929.0,4493180.0,53139.0,5267.666666666667,206852.33333333334
hu_gen_vote_30,glucose D+I,268,310.15571733333337,543.4457861582438,39289.0,36046.0,2455.5625,16.0,19.996176820433984,46.110622214160436,3,275.44732100000004,460.47129797935486,39289.0,-1.0,nan,nan,nan
hu_gen_vote_30,glucose D,268,370.7452243333332,714.5912950833639,36046.0,nan,134.0,269.0,12.656453576604113,37.105981797408774,3,354.78657399999986,644.6897351741791,36046.0,-1.0,nan,nan,nan
hu_gen_vote_30,glucose_ordered D,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,6216.0,nan,nan,nan,nan
hu_gen_vote_30,minion D+I,268,8.588323,35.79011154174805,3243.0,831.0,202.6875,16.0,0.09722600000000091,8.834725618362427,2,8.491097,26.95538592338562,3243.0,311322.5,16816.0,0.0,0.0
hu_gen_vote_30,minion_compressed D+I,268,12.785849000000002,51.39624238014221,3243.0,831.0,202.6875,16.0,nan,nan,1,12.785849000000002,51.39624238014221,3243.0,623939.0,16780.0,0.0,0.0
hu_gen_vote_30,minion D,268,365.3079780000001,453.46764183044434,36046.0,nan,134.0,269.0,nan,nan,1,365.3079780000001,453.46764183044434,36046.0,-1.0,nan,nan,nan
hu_gen_vote_30,nbc D+I,268,12.4475,55.35204190015793,3243.0,831.0,202.6875,16.0,0.32476777417542074,2.8281761465693207,8,10.9,45.274578332901,3243.0,1907964.5,29741.5,3999.0,194963.0
hu_gen_vote_30,nbc_compressed D+I,268,11.546666666666667,64.06627321243286,3243.0,831.0,202.6875,16.0,0.6383398607151037,4.5730668410322535,3,10.830000000000002,58.6611762046814,3243.0,3864611.0,27942.0,4116.333333333333,195316.0
hu_gen_vote_40,glucose D+I,5,17.40063766666667,43.64848144849142,78.0,15.0,4.875,16.0,1.4318079658816383,1.655435088641272,3,14.850875,41.09233832359314,78.0,-1.0,nan,nan,nan
hu_gen_vote_40,glucose D,5,5.75858225,29.53242737054825,15.0,nan,2.5,6.0,0.20637516511294604,2.6858852369538497,4,5.298295,24.95559597015381,15.0,-1.0,nan,nan,nan
hu_gen_vote_40,glucose_ordered D,5,4.486759,34.99468207359314,15.0,nan,2.5,6.0,nan,nan,1,4.486759,34.99468207359314,15.0,-1.0,nan,nan,nan
hu_gen_vote_40,minion D+I,5,4.917333999999999,26.763458609580994,63.0,8.0,3.9375,16.0,0.012915000000000454,4.441091418266296,2,4.904418999999999,22.322367191314697,63.0,227638.0,2699.0,0.0,0.0
hu_gen_vote_40,minion_compressed D+I,5,5.452568000000001,36.708680152893066,63.0,8.0,3.9375,16.0,nan,nan,1,5.452568000000001,36.708680152893066,63.0,459260.0,2699.0,0.0,0.0
hu_gen_vote_40,minion D,5,4.6466959999999995,23.47758960723877,15.0,nan,2.5,6.0,nan,nan,1,4.6466959999999995,23.47758960723877,15.0,-1.0,nan,nan,nan
hu_gen_vote_40,nbc D+I,5,4.30625,38.465305119752884,63.0,8.0,3.9375,16.0,0.0951115416610562,2.973749766600809,8,3.8000000000000003,25.513473987579346,63.0,1749484.0,8317.75,3809.0,184363.0
hu_gen_vote_40,nbc_compressed D+I,5,4.000000000000001,44.02468784650167,63.0,8.0,3.9375,16.0,0.2490649179096352,1.06223739757703,3,3.5500000000000003,41.90070676803589,63.0,3499946.0,9063.666666666666,3811.0,184370.0
hu_gen_vote_50,glucose D+I,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0.0,nan,nan,nan,nan
hu_gen_vote_50,glucose D,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0.0,nan,nan,nan,nan
hu_gen_vote_50,glucose_ordered D,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0.0,nan,nan,nan,nan
hu_gen_vote_50,minion D+I,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0.0,nan,nan,nan,nan
hu_gen_vote_50,minion_compressed D+I,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0.0,nan,nan,nan,nan
hu_gen_vote_50,minion D,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0.0,nan,nan,nan,nan
hu_gen_vote_50,nbc D+I,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0.0,nan,nan,nan,nan
hu_gen_vote_50,nbc_compressed D+I,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0.0,nan,nan,nan,nan
hu_gen_zoo_10,glucose D+I,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0.0,nan,nan,nan,nan
hu_gen_zoo_10,glucose D,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0.0,nan,nan,nan,nan
hu_gen_zoo_10,glucose_ordered D,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0.0,nan,nan,nan,nan
hu_gen_zoo_10,minion D+I,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0.0,nan,nan,nan,nan
hu_gen_zoo_10,minion_compressed D+I,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0.0,nan,nan,nan,nan
hu_gen_zoo_10,minion D,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0.0,nan,nan,nan,nan
hu_gen_zoo_10,nbc D+I,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0.0,nan,nan,nan,nan
hu_gen_zoo_10,nbc_compressed D+I,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0.0,nan,nan,nan,nan
hu_gen_zoo_20,glucose D+I,4286,473.18847199999976,2302.3298083146415,9232043.0,9187041.0,577002.6875,16.0,13.537418873155977,493.19915354254886,3,446.1522510000008,1753.3764986991882,9232043.0,-1.0,nan,nan,nan
hu_gen_zoo_20,glucose D,5759,565.6733146666669,3099.4636034965515,16585920.0,nan,2879.5,5760.0,10.918271667095901,2376.316726963457,3,543.8472470000005,720.9523446559906,16585920.0,-1.0,nan,nan,nan
hu_gen_zoo_20,glucose_ordered D,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,37401.0,nan,nan,nan,nan
hu_gen_zoo_20,minion D+I,4286,27.173447,52.75583493709564,45002.0,15000.0,2812.625,16.0,2.8512400000000007,6.635123610496521,2,24.322207,46.12071132659912,45002.0,635975.0,96977.0,0.0,0.0
hu_gen_zoo_20,minion_compressed D+I,4286,164.34628600000002,226.60958051681519,45002.0,15000.0,2812.625,16.0,nan,nan,1,164.34628600000002,226.60958051681519,45002.0,690802.0,94704.0,0.0,0.0
hu_gen_zoo_20,minion D,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan
